"ID","START_DATE","END_DATE","EVENT_ID","MENTOR_NOTES","LANGUAGE_ID","MENTEE_COMPUTER_ID","MENTOR_ID","MSM","HANGOUTS_LINK",
162,,,"",,1,2,,360,"",
163,2020-08-25 00:00:00,2020-12-22 00:00:00,"3v5djgoa95i1eot0na0m32th78",,1,2,,1800,"",
164,,,"",,1,2,,3240,"",
165,,,"",,1,2,,4680,"",
166,,,"",,1,2,,6120,"",
167,2020-08-31 00:00:00,2020-12-28 00:00:00,"0mdv78ub8fd5q5hddk882kvfik",,1,2,255,540,"",
168,2020-08-18 00:00:00,2020-12-15 00:00:00,"ierffkdtkmgkpdfhdqcmoj0lq8",,1,2,103,1860,"",
464,2020-09-01 00:00:00,2020-12-29 00:00:00,"402au735mtvmmg9ai8klnvf86s",,1,28,336,2040,"",
170,2020-08-20 00:00:00,2020-12-17 00:00:00,"1sieia472gcnoqh56rq29qlpus",,1,2,133,4740,"",
171,2020-08-21 00:00:00,2020-12-18 00:00:00,"u7t1cl4tmdgt7n7hl2gv6bk614",,1,2,52,6180,"",
465,2020-09-01 00:00:00,2020-12-29 00:00:00,"eg4d6f2inirh93e0nd29p38kpg",,1,27,490,2040,"",
173,2020-08-25 00:00:00,2020-12-22 00:00:00,"56iskvflspi6cbgto542im978s",,1,3,251,1920,"",
174,2020-08-19 00:00:00,2020-12-16 00:00:00,"e0ov5aqfhn2mqgbn7qkgd83n0o",,1,2,131,3360,"",
175,2020-08-27 00:00:00,2020-12-24 00:00:00,"k4jip9n4b44hml00de4d6k4uug",,1,2,369,4800,"",
176,2020-08-21 00:00:00,2020-12-18 00:00:00,"8c16p33m5t4nn7jr3qj01c40qg",,1,2,193,6240,"",
177,,,"",,1,2,,420,"",
466,,,"",,1,28,,1980,"",
179,2020-08-19 00:00:00,2020-12-16 00:00:00,"0jobtrjf7fkc9u5ec5v4b253n4",,1,2,136,3420,"",
180,,,"",,1,2,,4860,"",
182,2020-08-17 00:00:00,2020-12-14 00:00:00,"430vh5mfpccvf63dctnh2hjdm4",,1,2,94,600,"",
183,,,"",,1,2,,2040,"",
184,2020-08-26 00:00:00,2020-12-23 00:00:00,"rvjfbg99dutemnvjg556ck1kao",,1,2,158,3480,"",
185,,,"",,1,2,,4920,"",
186,2020-08-21 00:00:00,2020-12-18 00:00:00,"f4h67venvrt7b83gm88v1fvde0",,1,2,69,6360,"",
467,2020-09-15 00:00:00,2021-01-12 00:00:00,"mp3s1cg810424het2dvmsuc4rs",,1,27,630,1980,"https://meet.google.com/wek-view-uow",
468,2020-09-01 00:00:00,2020-12-29 00:00:00,"sfjetp0sgh73pjnrrgcg8at7h8",,1,28,336,1920,"",
